0 1
1 86
2 177
3 255
4 332
5 418
6 495
7 572
8 624
9 668
10 698
11 734
12 759
13 787
14 803
15 819
16 840
17 859
18 866
19 877
20 878
21 890
22 902
23 918
24 929
25 928
26 931
27 945
28 945
29 951
30 961
31 963
32 970
33 970
34 976
35 979
36 976
37 987
38 991
39 989
40 1003
41 1003
42 1003
43 1012
44 1008
45 1009
46 1020
47 1019
48 1017
49 1015
50 1026
51 1023
52 1028
53 1018
54 1024
55 1020
56 1025
57 1030
58 1030
59 1028
60 1030
61 1030
62 1034
63 1033
64 1034
65 1031
66 1032
67 1039
68 1034
69 1027
70 1030
71 1033
72 1040
73 1030
74 1029
75 1037
76 1040
77 1042
78 1037
79 1046
80 1036
81 1040
82 1043
83 1037
84 1038
85 1040
86 1047
87 1040
88 1047
89 1049
90 1044
91 1046
92 1042
93 1048
94 1039
95 1047
96 1043
97 1049
98 1054
99 1049
