0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 5
10 18
11 39
12 72
13 105
14 142
15 181
16 219
17 262
18 312
19 365
20 417
21 472
22 525
23 584
24 649
25 707
26 768
27 833
28 892
29 950
30 1015
31 1073
32 1135
33 1198
34 1262
35 1326
36 1388
37 1449
38 1519
39 1581
40 1652
41 1721
42 1783
43 1855
44 1919
45 1982
46 2054
47 2120
48 2191
49 2253
50 2327
51 2393
52 2469
53 2538
54 2608
55 2675
56 2748
57 2822
58 2897
59 2969
60 3040
61 3110
62 3189
63 3260
64 3333
65 3401
66 3473
67 3549
68 3623
69 3687
70 3750
71 3820
72 3896
73 3962
74 4026
75 4098
76 4172
77 4243
78 4313
79 4394
80 4458
81 4531
82 4604
83 4673
84 4741
85 4813
86 4888
87 4958
88 5034
89 5104
90 5171
91 5244
92 5313
93 5386
94 5451
95 5525
96 5591
97 5665
98 5742
99 5811
