0 1
1 2
2 3
3 3
4 3
5 5
6 5
7 5
8 7
9 7
10 5
11 7
12 6
13 6
14 6
15 7
16 8
17 7
18 7
19 6
20 8
21 7
22 8
23 7
24 8
25 10
26 8
27 9
28 8
29 7
30 7
31 7
32 7
33 7
34 7
35 8
36 7
37 8
38 7
39 8
40 7
41 9
42 10
43 9
44 10
45 9
46 10
47 11
48 11
49 11
50 11
51 11
52 10
53 11
54 12
55 12
56 11
57 10
58 9
59 12
60 12
61 12
62 12
63 11
64 11
65 12
66 12
67 13
68 13
69 13
70 13
71 12
72 12
73 12
74 12
75 10
76 11
77 13
78 13
79 11
80 12
81 12
82 12
83 13
84 12
85 10
86 13
87 10
88 12
89 13
90 13
91 12
92 13
93 11
94 13
95 13
96 12
97 11
98 11
99 13
